year,division,station,station_code,offence_code,offence_category,offence_group,incident_count
2003,DMR North Division,Swords,63303,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",24
2003,DMR North Division,Swords,63303,07,Burglary and related offences (07),Burglary and related offences,215
2003,DMR North Division,Swords,63303,08,Theft and related offences (08),Theft and related offences,761
2003,DMR North Division,Swords,63303,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",20
2003,DMR North Division,Swords,63303,10,Controlled drug offences (10),Controlled drug offences,131
2003,DMR North Division,Swords,63303,11,Weapons and explosives offences (11),Weapons and explosives offences,9
2003,DMR North Division,Swords,63303,12,Damage to property and to the environment  offences (12),Damage to property & environment,475
2003,DMR North Division,Swords,63303,13,Public order and other social code offences (13),Public order & social code offences,285
2003,DMR North Division,Swords,63303,14,Road and traffic offences (14),Road and traffic offences,326
2003,DMR North Division,Swords,63303,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",86
2003,DMR North Division,Swords,63303,16,Offences not elsewhere classified (16),Offences not elsewhere classified,6
2003,DMR North Division,Clontarf,63401,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",59
2003,DMR North Division,Clontarf,63401,04,Dangerous or negligent acts (04),Dangerous or negligent acts,100
2003,DMR North Division,Clontarf,63401,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR North Division,Clontarf,63401,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",58
2003,DMR North Division,Clontarf,63401,07,Burglary and related offences (07),Burglary and related offences,314
2003,DMR North Division,Clontarf,63401,08,Theft and related offences (08),Theft and related offences,765
2003,DMR North Division,Clontarf,63401,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",15
2003,DMR North Division,Clontarf,63401,10,Controlled drug offences (10),Controlled drug offences,39
2003,DMR North Division,Clontarf,63401,11,Weapons and explosives offences (11),Weapons and explosives offences,5
